basin,sub,tsta,AMCR,AMDI,AMGO,AMRO,BAEA,BASW,BCCH,BEKI,BEWR,BGWA,BHCO,BHGR,BRCR,BTPI,BUGR,BUSH,CAGO,CBCH,CEWA,COHA,COME,CONI,CORA,COYE,DEJU,DOWO,EUST,EVGR,GBHE,GCKI,GCSP,GHOW,GRJA,HAFL,HAWO,HETH,HEWA,HOME,HOWR,HUVI,MALL,MAMU,MGWA,MOQU,NOFL,OCWA,OSFL,PISI,PIWO,PSFL,PUFI,PYOW,RBNU,RBSA,RCKI,RECR,RSTO,RTHA,RUGR,RUHU,RWBL,SCOW,SOSP,SOVI,SPOW,SSHA,STJA,SWOW,SWTH,TOSO,TOWA,TRSW,TUVU,UNBI,UNDU,UNFI,UNFL,UNHA,UNJA,UNOW,UNRA,UNSW,UNTH,UNWA,UNWO,VATH,VGSW,WAVI,WCSP,WEBL,WETA,WIFL,WIWA,WIWR,WODU,WREN,WWPE,YRWA,b.total,b.rich,b.sidi
D,AL,35,0,0,0.285714286,0.542857143,0,0,0,0,0.057142857,0.028571429,0.028571429,0.428571429,0.028571429,0.485714286,0,0.114285714,0,0.428571429,0.2,0,0.114285714,0.171428571,0.057142857,0,0.485714286,0,0,1,0.028571429,0.742857143,0,0,0.085714286,0.028571429,0.085714286,0,0.714285714,0.142857143,0.057142857,0.371428571,0,0,0.542857143,0.171428571,0.142857143,1.028571429,0.142857143,0,0.028571429,0.742857143,0.114285714,0,0.085714286,0.057142857,0,0.057142857,0.6,0.028571429,0,0.085714286,0,0.028571429,0.685714286,0,0,0.028571429,0.742857143,0,4.371428571,0.028571429,0,0.228571429,0,0.057142857,0,0,0,0,0,0,0,0.228571429,0,0,0.057142857,0.371428571,0.171428571,0.571428571,0.228571429,0,0.114285714,0.2,2.714285714,1.485714286,0,0.285714286,0.085714286,0.114285714,23.34285714,57,0.066789116
D,BC,32,0,0,0.09375,0.3125,0,0,0,0,0.03125,0.03125,0,0.40625,0.4375,0.25,0,0,0,0.65625,0,0,0,0,0.125,0,0.1875,0,0,1.59375,0,0.71875,0,0,0.09375,0.65625,0.15625,0,1.34375,0,0,0.09375,0,0.5,0,0.03125,0.03125,0.0625,0,0,0.15625,1.4375,0.03125,0.15625,0.34375,0,0,1.5,0.03125,0,0,0.0625,0,0,0.0625,0,0,0,0.90625,0.03125,2.03125,0,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0.09375,1.8125,0,0.03125,0,0,0.09375,0.03125,1.90625,2.5,0,0.03125,0.03125,0,21.1875,41,0.065096893
D,CH,37,0,0,0.054054054,0.594594595,0,0.054054054,0.054054054,0.054054054,0.027027027,0.081081081,0,0.756756757,0.378378378,0.837837838,0,0.054054054,0,0.621621622,0.135135135,0,0,0.027027027,0.108108108,0.027027027,0.108108108,0.054054054,0,0.621621622,0,0.513513514,0,0,0.054054054,0.243243243,0.162162162,0,0.72972973,0,0,0.243243243,0.027027027,0.162162162,0.162162162,0,0.081081081,0.351351351,0,0,0.081081081,1.297297297,0.081081081,0.108108108,0.378378378,0.081081081,0,1.162162162,0.162162162,0.054054054,0.054054054,0.162162162,0,0.027027027,0.783783784,0,0,0.027027027,0.675675676,0,3.567567568,0,0,0.054054054,0,0.054054054,0,0,0,0,0,0,0,0.027027027,0.027027027,0.054054054,0.054054054,1.351351351,0,0.567567568,0.135135135,0,0.189189189,0.216216216,2.675675676,1.837837838,0,0.081081081,0.081081081,0,23.48648649,56,0.060926081
D,DC,34,0,0,0.029411765,0.558823529,0,0,0,0,0,0.058823529,0,0.617647059,0.558823529,0.647058824,0,0.058823529,0,0.705882353,0,0,0,0,0.088235294,0,0.470588235,0.058823529,0,0.617647059,0.029411765,0.352941176,0,0,0.147058824,0.5,0.323529412,0,1.147058824,0,0.117647059,0.176470588,0,0,0,0.088235294,0.088235294,0.205882353,0.058823529,0,0.176470588,1.705882353,0.058823529,0.205882353,0.147058824,0.058823529,0,0.147058824,0.088235294,0.029411765,0,0.176470588,0,0,0.676470588,0,0,0,0.588235294,0,3.352941176,0,0,0,0,0.058823529,0,0,0,0,0,0.029411765,0,0.029411765,0,0,0.117647059,1.382352941,0,0.617647059,0.529411765,0,0.470588235,0.029411765,2.088235294,1.941176471,0,0.058823529,0,0.058823529,22.52941176,46,0.060127208
D,HC,35,0,0,0.314285714,0.514285714,0,0,0.085714286,0.028571429,0.285714286,0,0.028571429,0.714285714,0.342857143,0.4,0,0.114285714,0.028571429,0.542857143,0.142857143,0,0,0.085714286,0.114285714,0.028571429,0.542857143,0,0,0.914285714,0.028571429,0.257142857,0,0,0.085714286,0.457142857,0.314285714,0,1,0,0.171428571,0.4,0.028571429,0,0.714285714,0.228571429,0.2,1.028571429,0.4,0.085714286,0.142857143,0.942857143,0.4,0.057142857,0.257142857,0,0,0.657142857,0.657142857,0.114285714,0,0.628571429,0,0,1.257142857,0,0,0,0.685714286,0,3.028571429,0.114285714,0,0,0,0.057142857,0,0,0,0,0,0,0,0.057142857,0,0,0.085714286,0.371428571,0,0.6,0.657142857,0.057142857,0.542857143,0.314285714,2.457142857,1.2,0,0.228571429,0.2,0,26.4,56,0.041129055
D,LF,32,0,0,0.53125,0.46875,0.03125,0,0.15625,0,0.25,0.125,0.03125,0.84375,0.28125,0.59375,0,0.0625,0,0.375,0.5625,0,0,0.03125,0.3125,0.125,0.28125,0,0,0.875,0.0625,0.21875,0,0.03125,0.0625,0.375,0.28125,0,0.40625,0,0.21875,0.1875,0,0,0.25,0.125,0.15625,0.5,0.09375,0,0.15625,1.28125,0.4375,0,0.0625,0.09375,0,0.0625,0.4375,0.0625,0,0.21875,0,0,0.96875,0,0,0,0.65625,0,4.8125,0,0,0.15625,0,0.09375,0,0,0,0,0.03125,0,0,0.1875,0,0,0.0625,0.625,0.0625,0.71875,0.71875,0.03125,0.40625,0.40625,2.40625,1.53125,0,0.15625,0.0625,0.03125,25.84375,57,0.060861581
D,NC,37,0,0,0.081081081,0.162162162,0,0,0.027027027,0,0,0.027027027,0,0.513513514,0.675675676,0.297297297,0,0.108108108,0,0.432432432,0,0,0,0.081081081,0.216216216,0,0.243243243,0.027027027,0,1.351351351,0,0.486486486,0,0,0.108108108,0.459459459,0.27027027,0.027027027,0.540540541,0,0,0.054054054,0,0.054054054,0.432432432,0.081081081,0.054054054,0.459459459,0.216216216,0,0.216216216,1,0.054054054,0.027027027,0.486486486,0.027027027,0,2.297297297,0.459459459,0.027027027,0,0.108108108,0,0,0.351351351,0,0,0,0.72972973,0,2.459459459,0,0.027027027,0,0.027027027,0.054054054,0,0.027027027,0,0,0.027027027,0,0,0.027027027,0,0,0.054054054,1.486486486,0,0.189189189,0.081081081,0,0.189189189,0.243243243,2.324324324,2.027027027,0,0.054054054,0.027027027,0,22.59459459,51,0.058027232
D,NN,34,0,0,0.147058824,0.352941176,0,0,0,0.029411765,0,0.088235294,0,0.147058824,0.235294118,0.264705882,0,0,0,0.382352941,0.058823529,0,0,0,0.088235294,0,0.029411765,0,0,0.705882353,0,0.735294118,0,0,0,0.235294118,0.117647059,0,0.911764706,0,0,0.235294118,0,0.323529412,0.147058824,0,0.147058824,0.588235294,0,0.029411765,0.058823529,1.205882353,0.117647059,0,0.088235294,0.029411765,0,1.117647059,0.147058824,0,0.029411765,0.205882353,0,0,0.411764706,0,0,0,0.647058824,0,2.970588235,0,0.058823529,0,0,0.088235294,0,0,0,0,0.029411765,0,0,0,0,0.029411765,0.029411765,1.058823529,0,0.352941176,0.029411765,0,0.117647059,0.088235294,1.823529412,2,0,0.382352941,0,0,19.11764706,43,0.065391716
D,TC,34,0,0,0.088235294,0.294117647,0,0,0,0,0.029411765,0.058823529,0,0.117647059,0.558823529,0.294117647,0,0.058823529,0,0.647058824,0,0,0,0.058823529,0.235294118,0,0.294117647,0,0,0.558823529,0,0.5,0,0,0.117647059,0.411764706,0.382352941,0,1,0,0.058823529,0.117647059,0,0.588235294,0.235294118,0,0.117647059,0.205882353,0.264705882,0,0.235294118,1.911764706,0.029411765,0,0.235294118,0,0,1.617647059,0.088235294,0.058823529,0,0.264705882,0,0,0.176470588,0,0,0,0.882352941,0,1.676470588,0,0,0.029411765,0,0.058823529,0,0,0,0,0,0,0,0.117647059,0,0,0.088235294,1.676470588,0.088235294,0,0.352941176,0.029411765,0.088235294,0,1.411764706,1.970588235,0,0.029411765,0.058823529,0,20.47058824,46,0.053534565
D,UF,32,0,0,0.0625,0.78125,0,0,0,0,0,0.03125,0,0.8125,0.625,0.1875,0,0,0,0.6875,0,0,0,0,0.09375,0,0.3125,0.1875,0,0.9375,0,0.46875,0,0.125,0.28125,0.78125,0.40625,0,1.03125,0,0,0.03125,0,0.15625,0,0.0625,0,0,0,0,0.28125,2.5,0.0625,0.09375,0.1875,0,0,0.1875,0,0.03125,0.03125,0.09375,0,0,0.21875,0,0,0,0.46875,0,3.96875,0,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0.125,1.4375,0,0.59375,0,0,0.53125,0,2,2.65625,0,0,0.03125,0,23.65625,38,0.074293821
