basin,sub,sub.lat,sub.long,sub.elev,road.den,stream.den,ta,p.mps,p.tcai,p.sidi,p.siei,p.contag,p.ed,p.cwed,p.teci,s.mps,s.tcai,s.sidi,s.siei,s.contag,s.ed,s.cwed,s.teci,b,ccp,ccs,cf,cls,cop,cos,csh,g,gf,hcp,hf,hls,hop,hsh,hss,hsw,hw,ls,mcp,mcs,mf,mgf,mls,mop,mos,msh,mss,po,sa,sh,ss,w
D,AL,4923007.086,437086.944,635,19,29,292.17,17.19,25.59,0.7,0.8,62.97,68.33,16.97,21.83,58.43,62.37,0.12,0.16,55.79,36.32,15.04,38.67,0,47.16,0,56.61,0.71,8.74,0,0,0,4.23,1.2,1.2,0,0,0,0,0,0,0.71,15.82,0,40.75,4.23,0,20.7,0,0,0,93.61,0,0,0,1.45
D,BC,4920180.344,430610.517,533,1,28,247.91,22.54,16.01,0.63,0.85,47.32,61.59,7.15,9.23,61.98,59.21,0.34,0.5,67.14,29.31,5.62,14.81,0,12.87,0,64.02,50.79,0,0,0,0,0,0,0,0,0,0,0,0,0,80.15,6.98,0,35.98,0,29.37,0,0,0,0,19.85,0,0,0,0
D,CH,4929243.297,436373.8,396,11,32,291.08,10.04,11.41,0.8,0.87,69.69,72.86,24.67,28.17,22.39,28.33,0.78,0.88,70.66,49.7,22.17,34.53,0.97,29.76,0,49.2,13.09,6.34,0,0,1.06,1.96,0,7.98,1.75,2.59,3.63,0,0,0.91,43.44,4.35,0,39.9,0,28.58,6.13,0,0,0.85,49.18,0,4.6,0.83,0
D,DC,4932834.294,430564.779,342,18,32,286.92,17.93,18.66,0.72,0.83,69.42,60.06,20.81,28.89,35.87,33.51,0.57,0.76,46.25,38.44,19.84,37.31,0,23.65,0,31.41,7.76,0,0,0,0,7.98,0,6.08,4.58,0,0,1.5,0,0,57.23,7.1,0,62.51,7.98,44.89,0,0,0,2.55,30.75,0,0,4.05,0
D,HC,4931820.143,428852.739,369,30,30,271.44,11.8,20.05,0.84,0.93,70.15,65.46,25.06,30.81,16.97,21.77,0.84,0.94,69.44,53.35,24.81,33.65,0,16.2,0,29.3,13.1,0,0,0,0,9.71,1.51,4.62,0,2.2,0.9,0,0,0,24.46,12.26,0,66.08,9.71,11.36,1.07,27.15,4.54,0,33.24,27.15,5.44,0,0
D,LF,4930587.781,432246.903,327,34,38,250.09,11.91,18.54,0.8,0.87,69.74,76.93,22.67,26.09,25.01,25.51,0.73,0.84,67.52,61.2,21.66,30.37,0,0,0,5.54,0,0,5.54,0,0,8.82,4.82,10.02,1.8,2.42,0,0.98,4.22,1.3,39.89,14.12,0,78.93,7.52,38.09,7.33,11.86,0,0,28.69,17.4,4.22,0.98,0
D,NC,4926810.635,437486.244,328,9,30,295.32,26.85,16.29,0.76,0.91,58.12,60.96,9.11,12.49,147.66,63.82,0.48,0.96,49.2,19.58,6.74,21.17,0,6.7,0,44.83,34.84,3.29,0,0,0,0,0,0,0,0,0,0,0,0,60.36,9.78,0,55.17,0,25.52,19.88,0,0,0,39.64,0,0,0,0
D,NN,4926977.515,428853.042,329,27,27,273.42,19.53,21.32,0.75,0.84,59.29,53.56,7.17,9.9,68.36,61.51,0.37,0.49,61.57,12.79,4.96,13.62,0,37.08,2.35,68.36,19,9.94,0,0,0,0,1.28,1.28,0,0,0,0,0,0,19.45,26.21,0,30.36,0,0.45,2.57,1.13,0,0,77.07,3.48,0,0,0
D,TC,4926061.853,427304.567,351,16,29,263.52,37.65,43.83,0.38,0.47,57.88,43.68,13,25.45,65.88,58.71,0.31,0.41,67.43,34.27,12.49,33.34,0,7.58,0,85.26,77.68,0,0,0,0,0,0,0,0,0,0,0,0,0,82.16,0,0,14.74,0,4.48,0,0.44,9.82,0,7.58,0.44,9.82,0,0
D,UF,4932541.828,432100.031,369,3,33,268.91,29.88,31.07,0.44,0.67,50.12,50.67,4.17,6.48,268.91,76.57,,0,100,4.87,1.75,7.05,0,0,0,4.18,4.18,0,0,0,0,0,0,26.23,26.17,0,0,0,0,0,100,0,0,69.59,0,69.65,0,0,0,0,0,0,0,0,0
